,C_CH_Agua_GWh,C_CT_carbon_kTon,C_CT_Gas_Mpc,C_CT_Diesel_kBL,C_CT_Fueloil_kBL,C_CT_kerosene_kBL,C_CE_Viento_GWh,C_CS_Sol_GWh,C_CAyC_Bagazo_kTon,C_CAyC_Carbon_kTon,C_CAyC_Gas_Mpc,C_CAyC_Hidro_GWh,C_CAyC_Petroleo_kBL,C_CAyC_Renovables_GWh,C_CAyC_Diesel_kBL,C_CAyC_Gaslicuado_kBL
2010,"46993,00","1444,00","106784,00","695,00","389,00","2,00","39,00","0,00","650,00","325,00","41726,00","187,00","2206,00","0,00","1843,00","237,00"
2011,"65658,00","614,00","74575,00","7,00","307,00","0,00","41,00","0,00","766,00","268,00","40762,00","156,00","2165,00","0,00","1869,00","250,00"
2012,"56804,00","987,00","79181,00","304,00","450,00","15,00","55,00","0,00","813,00","286,00","40250,00","132,00","2200,00","0,00","1888,00","242,00"
2013,"50139,00","1835,00","102651,00","288,00","306,00","18,00","58,00","0,00","716,00","206,00","36498,00","121,00","1600,00","0,00","1897,00","257,00"
2014,"47731,00","1954,00","115268,00","231,00","257,00","5,00","70,00","0,00","924,00","266,00","39882,00","139,00","1636,00","0,00","1956,00","263,00"
2015,"48451,00","2144,00","113446,00","2182,00","1218,00","86,00","68,00","0,00","940,00","274,00","38746,00","117,00","1651,00","0,00","2000,00","256,00"
2016,"48966,00","1367,00","95301,00","2855,00","1324,00","133,00","51,00","0,00","1003,00","305,00","42303,00","0,00","1792,00","1,00","2170,00","267,00"
2017,"61286,00","1367,00","62976,00","14,00","124,00","0,00","8,00","0,00","976,00","306,00","45484,00","148,00","1905,00","0,00","2307,00","307,00"
2018,"59772,00","1367,00","76832,00","27,66","299,00","0,00","55,44","10,00","998,00","308,00","47988,00","161,00","1932,00","0,00","2340,00","301,00"
2019,"68080,00","2715,00","74023,00","42,00","95,00","0,00","63,00","132,00","1251,00","352,00","54679,00","199,00","2066,00","1,00","2502,00","307,00"
2020,"63260,69","3082,26","88240,59","26,02","46,46","0,00","10,12","190,80","1504,51","319,70","49722,96","177,72","1991,07","11,07","2411,64","310,55"
